left,top,right,bottom,newID,OBJECTID,YEAR_,ALARM_DATE,CONT_DATE,Shape_Leng,Shape_Area
-118.0013412374098,34.755423716625806,-117.9013412374098,34.655423716625805,3550,38946,2011,2011/08/27 00:00:00.000,2011/08/27 00:00:00.000,3754.9342220989297,459551.8915080954
-117.8013412374098,34.755423716625806,-117.7013412374098,34.655423716625805,3552,38958,2011,2011/07/27 00:00:00.000,2011/07/27 00:00:00.000,1412.392981177976,95821.33672650503
-117.6013412374098,34.755423716625806,-117.5013412374098,34.655423716625805,3554,22291,2005,2005/08/27 00:00:00.000,2005/08/27 00:00:00.000,2925.2023909601567,140641.53396644356
-117.5013412374098,34.755423716625806,-117.4013412374098,34.655423716625805,3555,22294,2005,2005/06/30 00:00:00.000,2005/06/30 00:00:00.000,4754.098442924802,1007693.4790921534
-117.4013412374098,34.755423716625806,-117.3013412374098,34.655423716625805,3556,30300,2002,2002/05/09 00:00:00.000,2002/05/09 00:00:00.000,2736.3065935255054,130280.32660930335
-117.3013412374098,34.755423716625806,-117.2013412374098,34.655423716625805,3557,39178,2012,2012/08/11 00:00:00.000,2012/08/11 00:00:00.000,955.6097153824496,53360.49480010435
-117.2013412374098,34.755423716625806,-117.1013412374098,34.655423716625805,3558,42670,2019,2019/06/02 00:00:00.000,2019/06/02 00:00:00.000,1468.7132072546278,59487.083989146646
-120.7013412374098,34.655423716625805,-120.6013412374098,34.5554237166258,3586,33786,2000,2000/09/11 00:00:00.000,2000/09/11 00:00:00.000,205.8341032532756,675.4864126332664
-120.7013412374098,34.655423716625805,-120.6013412374098,34.5554237166258,3586,35618,2000,2000/09/17 00:00:00.000,2000/09/17 00:00:00.000,1804.6497499281209,95183.02548326156
-120.7013412374098,34.655423716625805,-120.6013412374098,34.5554237166258,3586,36932,2000,2000/07/19 00:00:00.000,2000/07/19 00:00:00.000,302.0694390191057,3089.948943867316
-120.7013412374098,34.655423716625805,-120.6013412374098,34.5554237166258,3586,33782,2001,2001/10/05 00:00:00.000,2001/10/05 00:00:00.000,943.5367410555247,46960.09318183835
-120.7013412374098,34.655423716625805,-120.6013412374098,34.5554237166258,3586,32218,2002,2002/07/08 00:00:00.000,2002/07/08 00:00:00.000,5548.255656340189,554859.9327735965
-120.7013412374098,34.655423716625805,-120.6013412374098,34.5554237166258,3586,34642,2016,,2016/09/28 00:00:00.000,42096.094908545325,51450203.5013017
-120.6013412374098,34.655423716625805,-120.5013412374098,34.5554237166258,3587,35619,2000,2000/01/05 00:00:00.000,2000/01/05 00:00:00.000,898.397352111786,33072.477596164164
-120.6013412374098,34.655423716625805,-120.5013412374098,34.5554237166258,3587,33780,2001,2001/05/23 00:00:00.000,2001/05/23 00:00:00.000,372.6969313072449,4072.520637994504
-120.6013412374098,34.655423716625805,-120.5013412374098,34.5554237166258,3587,33781,2001,2001/06/19 00:00:00.000,2001/06/19 00:00:00.000,68.06705848515897,176.18637775108039
-120.6013412374098,34.655423716625805,-120.5013412374098,34.5554237166258,3587,32216,2002,2002/06/15 00:00:00.000,2002/06/15 00:00:00.000,49456.77574572444,30364432.271837454
-120.6013412374098,34.655423716625805,-120.5013412374098,34.5554237166258,3587,32219,2002,2002/08/28 00:00:00.000,2002/08/28 00:00:00.000,146.8660172422104,217.42825794555245
-120.5013412374098,34.655423716625805,-120.4013412374098,34.5554237166258,3588,22005,2007,2007/08/20 00:00:00.000,2007/08/23 00:00:00.000,7608.322311404169,2029816.8982842087
-120.5013412374098,34.655423716625805,-120.4013412374098,34.5554237166258,3588,39738,2014,2014/05/13 00:00:00.000,2014/05/19 00:00:00.000,10840.006772033412,2556859.3770052185
-120.5013412374098,34.655423716625805,-120.4013412374098,34.5554237166258,3588,21537,2020,2020/09/07 00:00:00.000,2020/09/07 00:00:00.000,1625.5636785919232,104499.71312629092
-120.4013412374098,34.655423716625805,-120.3013412374098,34.5554237166258,3589,41547,2017,2017/12/14 00:00:00.000,2017/12/14 00:00:00.000,1340.7162342609697,52793.88993802513
-120.4013412374098,34.655423716625805,-120.3013412374098,34.5554237166258,3589,42464,2019,2019/08/14 00:00:00.000,2019/08/14 00:00:00.000,1119.9805359095596,68716.72223155558
-120.3013412374098,34.655423716625805,-120.2013412374098,34.5554237166258,3590,42144,2018,2018/07/20 00:00:00.000,2018/07/23 00:00:00.000,4236.570640723591,364811.9388324775
-120.3013412374098,34.655423716625805,-120.2013412374098,34.5554237166258,3590,21524,2020,2020/06/14 00:00:00.000,2020/06/17 00:00:00.000,14799.608670594338,2814469.616216803
-120.2013412374098,34.655423716625805,-120.1013412374098,34.5554237166258,3591,36865,2006,2006/09/09 00:00:00.000,2006/09/09 00:00:00.000,4524.044829558994,614557.6569029464
-120.2013412374098,34.655423716625805,-120.1013412374098,34.5554237166258,3591,21526,2020,2020/10/31 00:00:00.000,2020/10/31 00:00:00.000,1735.0013070369203,69999.03480863551
-120.1013412374098,34.655423716625805,-120.0013412374098,34.5554237166258,3592,34678,2000,2000/06/09 00:00:00.000,,841.1516022004857,42277.85885772185
-120.1013412374098,34.655423716625805,-120.0013412374098,34.5554237166258,3592,41535,2017,2017/09/25 00:00:00.000,2017/09/25 00:00:00.000,5107.247449735382,598277.204742852
-120.1013412374098,34.655423716625805,-120.0013412374098,34.5554237166258,3592,41542,2017,2017/07/27 00:00:00.000,2017/07/27 00:00:00.000,1176.1879997590347,40803.123361678045
-120.1013412374098,34.655423716625805,-120.0013412374098,34.5554237166258,3592,21535,2020,2020/06/06 00:00:00.000,2020/06/07 00:00:00.000,3194.632679264073,311847.69513714773
-120.0013412374098,34.655423716625805,-119.9013412374098,34.5554237166258,3593,32708,2000,2000/08/13 00:00:00.000,,713.3546165668638,26616.07860518808
-120.0013412374098,34.655423716625805,-119.9013412374098,34.5554237166258,3593,32709,2000,2000/08/13 00:00:00.000,,162.28213770849536,1945.3508912696595
-120.0013412374098,34.655423716625805,-119.9013412374098,34.5554237166258,3593,34680,2000,,,2737.263646257094,238440.8677903664
-120.0013412374098,34.655423716625805,-119.9013412374098,34.5554237166258,3593,41871,2017,2017/07/08 00:00:00.000,2017/12/21 00:00:00.000,62652.10845505952,74512355.45531617
-120.0013412374098,34.655423716625805,-119.9013412374098,34.5554237166258,3593,42145,2018,2018/05/17 00:00:00.000,2018/05/17 00:00:00.000,2391.5720445444435,240646.87577829993
-119.9013412374098,34.655423716625805,-119.8013412374098,34.5554237166258,3594,41287,2016,2016/08/18 00:00:00.000,2016/09/15 00:00:00.000,137543.6479535344,131848347.01201792
-119.8013412374098,34.655423716625805,-119.7013412374098,34.5554237166258,3595,32697,2000,2000/06/29 00:00:00.000,2000/06/30 00:00:00.000,4842.323555129159,755359.9942523086
-119.8013412374098,34.655423716625805,-119.7013412374098,34.5554237166258,3595,39567,2013,2013/05/27 00:00:00.000,2013/08/01 00:00:00.000,21099.557521936193,7737790.712149726
-119.7013412374098,34.655423716625805,-119.6013412374098,34.5554237166258,3596,42365,2018,2018/09/01 00:00:00.000,2018/10/16 00:00:00.000,6168.9726109862795,668789.6348028837
-119.5013412374098,34.655423716625805,-119.4013412374098,34.5554237166258,3598,41874,2017,2017/12/04 00:00:00.000,2018/01/12 00:00:00.000,445282.44479837216,1140367253.626547
-119.4013412374098,34.655423716625805,-119.3013412374098,34.5554237166258,3599,36487,2002,2002/06/01 00:00:00.000,2002/06/14 00:00:00.000,72393.95329112058,87578582.6096819
-119.4013412374098,34.655423716625805,-119.3013412374098,34.5554237166258,3599,40896,2015,2015/08/02 00:00:00.000,2015/08/11 00:00:00.000,8217.503852095,1108109.865119662
-119.1013412374098,34.655423716625805,-119.0013412374098,34.5554237166258,3602,42705,2019,2019/05/25 00:00:00.000,2019/08/27 00:00:00.000,1990.2958801848897,122854.4266789184
-119.0013412374098,34.655423716625805,-118.9013412374098,34.5554237166258,3603,24477,2003,2003/10/23 00:00:00.000,2003/10/31 00:00:00.000,99965.96247468992,257891609.20289296
-118.9013412374098,34.655423716625805,-118.8013412374098,34.5554237166258,3604,21947,2007,2007/10/20 00:00:00.000,2007/11/15 00:00:00.000,169150.71569013828,236378245.16902015
-118.8013412374098,34.655423716625805,-118.7013412374098,34.5554237166258,3605,36210,2000,2000/09/14 00:00:00.000,2000/09/14 00:00:00.000,7134.70147640299,1417384.4900065484
-118.8013412374098,34.655423716625805,-118.7013412374098,34.5554237166258,3605,28387,2003,2003/07/07 00:00:00.000,2003/07/07 00:00:00.000,3685.7941934754167,633325.5389508028
-118.8013412374098,34.655423716625805,-118.7013412374098,34.5554237166258,3605,28389,2003,2003/09/01 00:00:00.000,2003/09/01 00:00:00.000,858.1453356424976,50526.17757049635
-118.8013412374098,34.655423716625805,-118.7013412374098,34.5554237166258,3605,28390,2003,2003/09/21 00:00:00.000,2003/09/21 00:00:00.000,1355.0049281318331,113208.52205716402
-118.8013412374098,34.655423716625805,-118.7013412374098,34.5554237166258,3605,35948,2004,2004/06/25 00:00:00.000,2004/06/26 00:00:00.000,5173.674528550093,1513633.4113018103
-118.8013412374098,34.655423716625805,-118.7013412374098,34.5554237166258,3605,35955,2004,2004/08/30 00:00:00.000,2004/08/30 00:00:00.000,1245.3666681805391,54536.81600667546
-118.8013412374098,34.655423716625805,-118.7013412374098,34.5554237166258,3605,37403,2006,2006/06/15 00:00:00.000,2006/06/15 00:00:00.000,1293.9500409117768,80951.30578858175
-118.8013412374098,34.655423716625805,-118.7013412374098,34.5554237166258,3605,38404,2009,2009/07/01 00:00:00.000,2009/07/01 00:00:00.000,2400.6848411182223,248800.32214670468
-118.8013412374098,34.655423716625805,-118.7013412374098,34.5554237166258,3605,38406,2009,2009/07/13 00:00:00.000,2009/07/13 00:00:00.000,5164.449824023343,1343698.7399591785
-118.8013412374098,34.655423716625805,-118.7013412374098,34.5554237166258,3605,38642,2010,2010/06/05 00:00:00.000,2010/07/05 00:00:00.000,793.6673294124951,38296.581825228954
-118.8013412374098,34.655423716625805,-118.7013412374098,34.5554237166258,3605,38816,2011,2011/08/23 00:00:00.000,2011/08/23 00:00:00.000,331.13769398782046,4866.172125587206
-118.8013412374098,34.655423716625805,-118.7013412374098,34.5554237166258,3605,39433,2013,2013/06/09 00:00:00.000,2013/06/09 00:00:00.000,1365.430764451371,71972.22773213431
-118.8013412374098,34.655423716625805,-118.7013412374098,34.5554237166258,3605,39436,2013,2013/07/09 00:00:00.000,2013/07/09 00:00:00.000,1060.7599066985183,48476.89016827942
-118.8013412374098,34.655423716625805,-118.7013412374098,34.5554237166258,3605,41913,2017,2017/07/21 00:00:00.000,2017/07/21 00:00:00.000,778.8317623615251,22437.342145608003
-118.8013412374098,34.655423716625805,-118.7013412374098,34.5554237166258,3605,41914,2017,2017/07/13 00:00:00.000,2017/07/13 00:00:00.000,1010.4887577077976,43461.87922527686
-118.8013412374098,34.655423716625805,-118.7013412374098,34.5554237166258,3605,42694,2019,2019/08/03 00:00:00.000,2019/08/09 00:00:00.000,4350.767016593592,632909.7380647237
-118.7013412374098,34.655423716625805,-118.6013412374098,34.5554237166258,3606,35949,2004,2004/08/07 00:00:00.000,2004/08/11 00:00:00.000,13272.500786002867,5410394.433782764
-118.7013412374098,34.655423716625805,-118.6013412374098,34.5554237166258,3606,35950,2004,2004/08/28 00:00:00.000,2004/08/28 00:00:00.000,1813.0379348204456,149348.6179767141
-118.7013412374098,34.655423716625805,-118.6013412374098,34.5554237166258,3606,22234,2007,2007/08/03 00:00:00.000,2007/08/03 00:00:00.000,1276.8503740079684,100767.37961375475
-118.7013412374098,34.655423716625805,-118.6013412374098,34.5554237166258,3606,38227,2008,2008/10/01 00:00:00.000,2008/10/05 00:00:00.000,1723.533085768054,171843.980986073
-118.7013412374098,34.655423716625805,-118.6013412374098,34.5554237166258,3606,38410,2009,2009/07/17 00:00:00.000,2009/07/17 00:00:00.000,918.3400652829381,47670.3584949954
-118.7013412374098,34.655423716625805,-118.6013412374098,34.5554237166258,3606,38649,2010,2010/09/16 00:00:00.000,2010/09/16 00:00:00.000,2415.5250364899334,151766.96209073244
-118.7013412374098,34.655423716625805,-118.6013412374098,34.5554237166258,3606,38815,2011,2011/09/28 00:00:00.000,2011/09/28 00:00:00.000,2099.707242797024,104774.17024879038
-118.7013412374098,34.655423716625805,-118.6013412374098,34.5554237166258,3606,39435,2013,2013/05/13 00:00:00.000,2013/05/14 00:00:00.000,2794.2738055439345,198799.45875389889
-118.7013412374098,34.655423716625805,-118.6013412374098,34.5554237166258,3606,39441,2013,2013/06/22 00:00:00.000,2013/06/22 00:00:00.000,1407.931967474102,120884.16413248748
-118.7013412374098,34.655423716625805,-118.6013412374098,34.5554237166258,3606,40730,2015,2015/09/09 00:00:00.000,2015/09/10 00:00:00.000,1237.3218808991076,19118.090630381357
-118.7013412374098,34.655423716625805,-118.6013412374098,34.5554237166258,3606,40868,2015,2015/10/09 00:00:00.000,2015/10/09 00:00:00.000,1221.5805873982426,42507.17270821458
-118.7013412374098,34.655423716625805,-118.6013412374098,34.5554237166258,3606,40869,2015,2015/08/06 00:00:00.000,2015/08/06 00:00:00.000,1626.5415374850563,99326.24718620232
-118.6013412374098,34.655423716625805,-118.5013412374098,34.5554237166258,3607,36211,2000,2000/06/06 00:00:00.000,,4149.50894368686,1025325.8440741682
-118.6013412374098,34.655423716625805,-118.5013412374098,34.5554237166258,3607,36456,2002,2002/06/05 00:00:00.000,2002/06/12 00:00:00.000,80573.15219115852,77301611.5865847
-118.6013412374098,34.655423716625805,-118.5013412374098,34.5554237166258,3607,38644,2010,2010/06/17 00:00:00.000,2010/07/17 00:00:00.000,641.520908923159,29312.73063413272
-118.6013412374098,34.655423716625805,-118.5013412374098,34.5554237166258,3607,40865,2015,2015/08/16 00:00:00.000,2015/08/18 00:00:00.000,5809.638639935672,1092739.0179167294
-118.6013412374098,34.655423716625805,-118.5013412374098,34.5554237166258,3607,41673,2017,2017/06/17 00:00:00.000,2017/06/17 00:00:00.000,14583.04549670442,2967404.3857667022
-118.5013412374098,34.655423716625805,-118.4013412374098,34.5554237166258,3608,36747,2000,2000/07/27 00:00:00.000,2000/07/28 00:00:00.000,2542.8621699324635,399558.9310671436
-118.5013412374098,34.655423716625805,-118.4013412374098,34.5554237166258,3608,32386,2002,2002/05/11 00:00:00.000,2002/05/13 00:00:00.000,26466.258494641173,17341223.789938997
-118.5013412374098,34.655423716625805,-118.4013412374098,34.5554237166258,3608,22207,2007,2007/10/21 00:00:00.000,2007/10/21 00:00:00.000,93267.91092947987,155186722.59458628
-118.5013412374098,34.655423716625805,-118.4013412374098,34.5554237166258,3608,38228,2008,2008/05/21 00:00:00.000,2008/05/23 00:00:00.000,1163.508609778551,55032.64136858409
-118.5013412374098,34.655423716625805,-118.4013412374098,34.5554237166258,3608,38230,2008,2008/08/17 00:00:00.000,2008/08/26 00:00:00.000,4798.4829094557135,540177.6235571797
-118.5013412374098,34.655423716625805,-118.4013412374098,34.5554237166258,3608,39117,2012,2012/10/17 00:00:00.000,2012/10/18 00:00:00.000,431.02040553237697,2898.5884872592032
-118.5013412374098,34.655423716625805,-118.4013412374098,34.5554237166258,3608,39432,2013,2013/08/09 00:00:00.000,2013/08/09 00:00:00.000,6050.4896281469855,833978.8475048312
-118.5013412374098,34.655423716625805,-118.4013412374098,34.5554237166258,3608,39434,2013,2013/09/07 00:00:00.000,2013/09/09 00:00:00.000,524.655075818298,20332.630717194646
-118.5013412374098,34.655423716625805,-118.4013412374098,34.5554237166258,3608,21719,2020,2020/09/28 00:00:00.000,2020/09/29 00:00:00.000,5099.612333426019,944314.7834904179
-118.4013412374098,34.655423716625805,-118.3013412374098,34.5554237166258,3609,32387,2002,2002/06/26 00:00:00.000,2002/06/26 00:00:00.000,1287.205516068106,88072.59619572764
-118.4013412374098,34.655423716625805,-118.3013412374098,34.5554237166258,3609,36457,2002,2002/09/03 00:00:00.000,2002/09/04 00:00:00.000,39483.65183900428,19847666.43417173
-118.4013412374098,34.655423716625805,-118.3013412374098,34.5554237166258,3609,33053,2003,2003/07/24 00:00:00.000,2003/07/27 00:00:00.000,19372.113516160174,8250991.647230867
-118.4013412374098,34.655423716625805,-118.3013412374098,34.5554237166258,3609,38817,2011,2011/09/17 00:00:00.000,2011/09/19 00:00:00.000,7363.9742838920865,2436173.466539585
-118.4013412374098,34.655423716625805,-118.3013412374098,34.5554237166258,3609,38818,2011,2011/10/29 00:00:00.000,2011/10/29 00:00:00.000,392.75015642266914,8670.204744951565
-118.4013412374098,34.655423716625805,-118.3013412374098,34.5554237166258,3609,40732,2015,2015/08/29 00:00:00.000,2015/08/29 00:00:00.000,957.97259781847,21115.757033746595
-118.4013412374098,34.655423716625805,-118.3013412374098,34.5554237166258,3609,41278,2016,2016/07/28 00:00:00.000,2016/07/28 00:00:00.000,2044.0164790268327,124029.84596880055
-118.4013412374098,34.655423716625805,-118.3013412374098,34.5554237166258,3609,41694,2017,2017/09/09 00:00:00.000,2017/09/09 00:00:00.000,112.13504368283775,563.714964427528
-118.4013412374098,34.655423716625805,-118.3013412374098,34.5554237166258,3609,42298,2018,2018/04/19 00:00:00.000,2018/04/20 00:00:00.000,1426.4749499194015,31435.740454992185
-118.4013412374098,34.655423716625805,-118.3013412374098,34.5554237166258,3609,42307,2018,2018/06/04 00:00:00.000,2018/06/05 00:00:00.000,19402.977002722106,5465876.505112002
-118.4013412374098,34.655423716625805,-118.3013412374098,34.5554237166258,3609,42360,2018,2018/06/04 00:00:00.000,2018/06/15 00:00:00.000,15387.641021361647,5810054.466606388
-118.4013412374098,34.655423716625805,-118.3013412374098,34.5554237166258,3609,21752,2020,2020/07/01 00:00:00.000,2020/07/09 00:00:00.000,14129.033367169564,2623094.36650579
-118.3013412374098,34.655423716625805,-118.2013412374098,34.5554237166258,3610,36458,2002,2002/08/25 00:00:00.000,2002/08/25 00:00:00.000,4665.605349368304,644668.8359210478
-118.3013412374098,34.655423716625805,-118.2013412374098,34.5554237166258,3610,35956,2004,2004/08/10 00:00:00.000,2004/08/10 00:00:00.000,945.7706788893217,57938.09768816872
-118.3013412374098,34.655423716625805,-118.2013412374098,34.5554237166258,3610,38718,2010,2010/07/29 00:00:00.000,2010/08/02 00:00:00.000,82162.77367964953,50918663.35176648
-118.3013412374098,34.655423716625805,-118.2013412374098,34.5554237166258,3610,39239,2012,2012/10/03 00:00:00.000,2012/03/10 00:00:00.000,751.052689819593,37476.91585285097
-118.3013412374098,34.655423716625805,-118.2013412374098,34.5554237166258,3610,39246,2012,2012/07/03 00:00:00.000,2012/03/07 00:00:00.000,1893.6452780414184,190992.47123670083
-118.3013412374098,34.655423716625805,-118.2013412374098,34.5554237166258,3610,39247,2012,2012/07/03 00:00:00.000,2012/07/03 00:00:00.000,10641.337937721404,3582112.4459370156
-118.2013412374098,34.655423716625805,-118.1013412374098,34.5554237166258,3611,39255,2012,2012/07/31 00:00:00.000,2012/07/31 00:00:00.000,2384.054504806998,290148.11459222884
-118.2013412374098,34.655423716625805,-118.1013412374098,34.5554237166258,3611,21645,2020,2020/08/22 00:00:00.000,2020/08/22 00:00:00.000,1164.4514451618854,50142.905116762595
-118.1013412374098,34.655423716625805,-118.0013412374098,34.5554237166258,3612,36979,2005,2005/07/01 00:00:00.000,2005/07/01 00:00:00.000,3650.749466361644,568346.3642855354
-117.9013412374098,34.655423716625805,-117.8013412374098,34.5554237166258,3614,38965,2011,2011/06/22 00:00:00.000,2011/06/22 00:00:00.000,4112.656458945329,437265.0092225223
-117.2013412374098,34.655423716625805,-117.1013412374098,34.5554237166258,3621,21789,2020,2020/07/19 00:00:00.000,2020/07/20 00:00:00.000,5763.346956240216,365075.3020103673
-117.1013412374098,34.655423716625805,-117.0013412374098,34.5554237166258,3622,38876,2011,2011/08/20 00:00:00.000,2011/08/22 00:00:00.000,5975.857315849362,725560.8692530625
-120.6013412374098,34.55542371662581,-120.5013412374098,34.45542371662581,3651,34455,2004,2004/07/19 00:00:00.000,2004/07/19 00:00:00.000,7825.080862164381,1347768.622459618
-120.3013412374098,34.55542371662581,-120.2013412374098,34.45542371662581,3654,25553,2004,2004/06/05 00:00:00.000,2004/06/12 00:00:00.000,31804.239390815343,29127936.35972324
-120.3013412374098,34.55542371662581,-120.2013412374098,34.45542371662581,3654,40798,2015,2015/07/26 00:00:00.000,2015/07/26 00:00:00.000,830.662008506438,36717.825213390046
-120.3013412374098,34.55542371662581,-120.2013412374098,34.45542371662581,3654,42143,2018,2018/07/18 00:00:00.000,2018/07/19 00:00:00.000,4225.794518488283,313846.0531627584
-120.3013412374098,34.55542371662581,-120.2013412374098,34.45542371662581,3654,21533,2020,2020/05/07 00:00:00.000,2020/05/10 00:00:00.000,4337.925457165501,635428.6091564352
-120.2013412374098,34.55542371662581,-120.1013412374098,34.45542371662581,3655,34679,2000,2000/10/10 00:00:00.000,,925.190325738062,46382.583785567615
-120.2013412374098,34.55542371662581,-120.1013412374098,34.45542371662581,3655,34682,2000,2000/08/10 00:00:00.000,,1373.8676281983808,110783.11884280246
-120.2013412374098,34.55542371662581,-120.1013412374098,34.45542371662581,3655,22006,2007,2007/09/03 00:00:00.000,2007/09/04 00:00:00.000,4578.864001108988,761839.4179858371
-120.2013412374098,34.55542371662581,-120.1013412374098,34.45542371662581,3655,40800,2015,2015/08/16 00:00:00.000,2015/08/16 00:00:00.000,2063.48792260916,79618.18667967661
-120.1013412374098,34.55542371662581,-120.0013412374098,34.45542371662581,3656,36449,2001,2001/08/18 00:00:00.000,,2002.5336920168363,118680.80836710519
-120.1013412374098,34.55542371662581,-120.0013412374098,34.45542371662581,3656,38733,2010,2010/07/17 00:00:00.000,2010/07/21 00:00:00.000,837.4893261092694,45841.058951020605
-120.1013412374098,34.55542371662581,-120.0013412374098,34.45542371662581,3656,41061,2016,2016/08/24 00:00:00.000,2016/08/24 00:00:00.000,1460.9319843492149,72212.1738147556
