OBJECTID,YEAR_,left,top,right,bottom,newID
32201,"2000",-122.601341237409798,38.855423716625808,-122.501341237409804,38.755423716625806,"1362"
32201,"2000",-122.601341237409798,38.755423716625806,-122.501341237409804,38.655423716625805,"1402"
32202,"2000",-122.001341237409804,38.555423716625810,-121.901341237409810,38.455423716625809,"1488"
32210,"2000",-118.301341237409801,34.555423716625810,-118.201341237409807,34.455423716625809,"3674"
32211,"2000",-118.701341237409792,34.455423716625809,-118.601341237409798,34.355423716625808,"3733"
32517,"2000",-122.901341237409810,40.655423716625805,-122.801341237409801,40.555423716625803,"623"
32534,"2000",-122.701341237409807,40.055423716625810,-122.601341237409812,39.955423716625809,"889"
32677,"2000",-118.801341237409801,36.155423716625805,-118.701341237409807,36.055423716625803,"2703"
32697,"2000",-119.801341237409801,34.655423716625805,-119.701341237409807,34.555423716625803,"3595"
32698,"2000",-120.001341237409804,34.755423716625806,-119.901341237409810,34.655423716625805,"3530"
32699,"2000",-120.101341237409798,34.855423716625808,-120.001341237409804,34.755423716625806,"3467"
32701,"2000",-120.001341237409804,35.055423716625810,-119.901341237409810,34.955423716625809,"3345"
32708,"2000",-120.001341237409804,34.655423716625805,-119.901341237409810,34.555423716625803,"3593"
32709,"2000",-120.001341237409804,34.655423716625805,-119.901341237409810,34.555423716625803,"3593"
32724,"2000",-120.501341237409804,37.955423716625809,-120.401341237409810,37.855423716625808,"1758"
32725,"2000",-120.701341237409807,38.255423716625806,-120.601341237409812,38.155423716625805,"1624"
32768,"2000",-120.701341237409807,39.155423716625805,-120.601341237409812,39.055423716625803,"1263"
33062,"2000",-116.801341237409801,32.755423716625806,-116.701341237409807,32.655423716625805,"4473"
33062,"2000",-116.701341237409792,32.755423716625806,-116.601341237409798,32.655423716625805,"4474"
33063,"2000",-116.601341237409798,32.755423716625806,-116.501341237409804,32.655423716625805,"4475"
33225,"2000",-120.101341237409798,39.555423716625810,-120.001341237409804,39.455423716625809,"1113"
33326,"2000",-122.701341237409807,40.055423716625810,-122.601341237409812,39.955423716625809,"889"
33326,"2000",-122.701341237409807,39.955423716625809,-122.601341237409812,39.855423716625808,"930"
33326,"2000",-122.601341237409798,39.955423716625809,-122.501341237409804,39.855423716625808,"931"
33326,"2000",-122.701341237409807,39.855423716625808,-122.601341237409812,39.755423716625806,"970"
33327,"2000",-119.101341237409798,36.255423716625806,-119.001341237409804,36.155423716625805,"2643"
33538,"2000",-122.201341237409807,38.755423716625806,-122.101341237409812,38.655423716625805,"1406"
33539,"2000",-121.501341237409804,35.955423716625809,-121.401341237409810,35.855423716625808,"2792"
33539,"2000",-121.401341237409795,35.955423716625809,-121.301341237409801,35.855423716625808,"2793"
33540,"2000",-123.701341237409807,39.255423716625806,-123.601341237409812,39.155423716625805,"1194"
33541,"2000",-123.301341237409801,39.455423716625809,-123.201341237409807,39.355423716625808,"1120"
33542,"2000",-123.501341237409804,39.655423716625805,-123.401341237409810,39.555423716625803,"1040"
33543,"2000",-123.701341237409807,39.355423716625808,-123.601341237409812,39.255423716625806,"1155"
33544,"2000",-122.801341237409801,39.655423716625805,-122.701341237409807,39.555423716625803,"1047"
33544,"2000",-122.701341237409807,39.655423716625805,-122.601341237409812,39.555423716625803,"1048"
33545,"2000",-122.901341237409810,39.555423716625810,-122.801341237409801,39.455423716625809,"1085"
33545,"2000",-122.901341237409810,39.455423716625809,-122.801341237409801,39.355423716625808,"1124"
33546,"2000",-122.801341237409801,38.155423716625805,-122.701341237409807,38.055423716625803,"1646"
33547,"2000",-122.701341237409807,38.055423716625810,-122.601341237409812,37.955423716625809,"1691"
33548,"2000",-116.701341237409792,32.655423716625805,-116.601341237409798,32.555423716625803,"4502"
33549,"2000",-116.701341237409792,32.755423716625806,-116.601341237409798,32.655423716625805,"4474"
